Address,USB0::0x2A8D::0x039B::CN60201260::0::INSTR
Model,EDUX1052G
Serial Number,CN60201260
Start Time,2026-04-15 13:20:03

Sample Count,Time(s),1(VOLT),
1,-0.0921875014901,2.29145765305,
2,-0.0920874997973,2.33165860176,
3,-0.0919874981046,2.29145765305,
4,-0.0918874964118,2.29145765305,
5,-0.0917875021696,2.29145765305,
6,-0.0916875004768,2.29145765305,
7,-0.0915874987841,2.29145765305,
8,-0.0914874970913,2.33165860176,
9,-0.0913875028491,2.33165860176,
10,-0.0912875011563,2.33165860176,
11,-0.0911874994636,2.33165860176,
12,-0.0910874977708,2.33165860176,
13,-0.0909875035286,2.37185978889,
14,-0.0908875018358,2.33165860176,
15,-0.0907875001431,2.33165860176,
16,-0.0906874984503,2.37185978889,
17,-0.0905874967575,2.37185978889,
18,-0.0904875025153,2.33165860176,
19,-0.0903875008225,2.33165860176,
20,-0.0902874991298,2.37185978889,
21,-0.090187497437,2.37185978889,
22,-0.0900875031948,2.33165860176,
23,-0.089987501502,2.41206073761,
24,-0.0898874998093,2.37185978889,
25,-0.0897874981165,2.37185978889,
26,-0.0896874964237,2.37185978889,
27,-0.0895875021815,2.37185978889,
28,-0.0894875004888,2.37185978889,
29,-0.089387498796,2.37185978889,
30,-0.0892874971032,2.37185978889,
31,-0.089187502861,2.37185978889,
32,-0.0890875011683,2.41206073761,
33,-0.0889874994755,2.37185978889,
34,-0.0888874977827,2.41206073761,
35,-0.0887875035405,2.37185978889,
36,-0.0886875018477,2.41206073761,
37,-0.088587500155,2.41206073761,
38,-0.0884874984622,2.37185978889,
39,-0.0883874967694,2.41206073761,
40,-0.0882875025272,2.37185978889,
41,-0.0881875008345,2.37185978889,
42,-0.0880874991417,2.41206073761,
43,-0.0879874974489,2.41206073761,
44,-0.0878875032067,2.41206073761,
45,-0.087787501514,2.41206073761,
46,-0.0876874998212,2.41206073761,
47,-0.0875874981284,2.41206073761,
48,-0.0874874964356,2.41206073761,
49,-0.0873875021935,2.37185978889,
50,-0.0872875005007,2.45226168633,
51,-0.0871874988079,2.37185978889,
52,-0.0870874971151,2.41206073761,
53,-0.0869875028729,2.41206073761,
54,-0.0868875011802,2.41206073761,
55,-0.0867874994874,2.41206073761,
56,-0.0866874977946,2.41206073761,
57,-0.0865875035524,2.41206073761,
58,-0.0864875018597,2.41206073761,
59,-0.0863875001669,2.45226168633,
60,-0.0862874984741,2.41206073761,
61,-0.0861874967813,2.41206073761,
62,-0.0860875025392,2.41206073761,
63,-0.0859875008464,2.41206073761,
64,-0.0858874991536,2.41206073761,
65,-0.0857874974608,2.45226168633,
66,-0.0856875032187,2.41206073761,
67,-0.0855875015259,2.41206073761,
68,-0.0854874998331,2.41206073761,
69,-0.0853874981403,2.41206073761,
70,-0.0852874964476,2.45226168633,
71,-0.0851875022054,2.41206073761,
72,-0.0850875005126,2.41206073761,
73,-0.0849874988198,2.41206073761,
74,-0.0848874971271,2.41206073761,
75,-0.0847875028849,2.41206073761,
76,-0.0846875011921,2.41206073761,
77,-0.0845874994993,2.41206073761,
78,-0.0844874978065,2.41206073761,
79,-0.0843875035644,2.41206073761,
80,-0.0842875018716,2.41206073761,
81,-0.0841875001788,2.41206073761,
82,-0.084087498486,2.41206073761,
83,-0.0839874967933,2.41206073761,
84,-0.0838875025511,2.41206073761,
85,-0.0837875008583,2.45226168633,
86,-0.0836874991655,2.41206073761,
87,-0.0835874974728,2.41206073761,
88,-0.0834875032306,2.45226168633,
89,-0.0833875015378,2.41206073761,
90,-0.083287499845,2.41206073761,
91,-0.0831874981523,2.37185978889,
92,-0.0830874964595,2.45226168633,
93,-0.0829875022173,2.41206073761,
94,-0.0828875005245,2.41206073761,
95,-0.0827874988317,2.41206073761,
96,-0.082687497139,2.41206073761,
97,-0.0825875028968,2.41206073761,
98,-0.082487501204,2.41206073761,
99,-0.0823874995112,2.41206073761,
100,-0.0822874978185,2.41206073761,
101,-0.0821875035763,2.41206073761,
102,-0.0820875018835,2.41206073761,
103,-0.0819875001907,2.45226168633,
104,-0.081887498498,2.45226168633,
105,-0.0817874968052,2.41206073761,
106,-0.081687502563,2.41206073761,
107,-0.0815875008702,2.45226168633,
108,-0.0814874991775,2.41206073761,
109,-0.0813874974847,2.45226168633,
110,-0.0812875032425,2.41206073761,
111,-0.0811875015497,2.41206073761,
112,-0.0810874998569,2.41206073761,
113,-0.0809874981642,2.41206073761,
114,-0.0808874964714,2.45226168633,
115,-0.0807875022292,2.41206073761,
116,-0.0806875005364,2.41206073761,
117,-0.0805874988437,2.41206073761,
118,-0.0804874971509,2.45226168633,
119,-0.0803875029087,2.41206073761,
120,-0.0802875012159,2.41206073761,
121,-0.0801874995232,2.37185978889,
122,-0.0800874978304,2.45226168633,
123,-0.0799875035882,2.41206073761,
124,-0.0798875018954,2.45226168633,
125,-0.0797875002027,2.45226168633,
126,-0.0796874985099,2.45226168633,
127,-0.0795874968171,2.41206073761,
128,-0.0794875025749,2.45226168633,
129,-0.0793875008821,2.41206073761,
130,-0.0792874991894,2.45226168633,
131,-0.0791874974966,2.41206073761,
132,-0.0790875032544,2.41206073761,
133,-0.0789875015616,2.41206073761,
134,-0.0788874998689,2.45226168633,
135,-0.0787874981761,2.45226168633,
136,-0.0786874964833,2.45226168633,
137,-0.0785875022411,2.45226168633,
138,-0.0784875005484,2.41206073761,
139,-0.0783874988556,2.41206073761,
140,-0.0782874971628,2.41206073761,
141,-0.0781875029206,2.45226168633,
142,-0.0780875012279,2.45226168633,
143,-0.0779874995351,2.45226168633,
144,-0.0778874978423,2.45226168633,
145,-0.0777875036001,2.41206073761,
146,-0.0776875019073,2.41206073761,
147,-0.0775875002146,2.41206073761,
148,-0.0774874985218,2.37185978889,
149,-0.077387496829,2.45226168633,
150,-0.0772875025868,2.41206073761,
151,-0.0771875008941,2.41206073761,
152,-0.0770874992013,2.45226168633,
153,-0.0769874975085,2.41206073761,
154,-0.0768875032663,2.33165860176,
155,-0.0767875015736,2.17085456848,
156,-0.0766874998808,2.05025172234,
157,-0.076587498188,1.84924650192,
158,-0.0764874964952,1.68844246864,
159,-0.0763875022531,1.52763843536,
160,-0.0762875005603,1.40703547001,
161,-0.0761874988675,1.24623131752,
162,-0.0760874971747,1.12562835217,
163,-0.0759875029325,0.964824318886,
164,-0.0758875012398,0.884422242641,
165,-0.075787499547,0.763819217682,
166,-0.0756874978542,0.603015184402,
167,-0.075587503612,0.522613167763,
168,-0.0754875019193,0.442211121321,
169,-0.0753875002265,0.281407088041,
170,-0.0752874985337,0.2010050565,
171,-0.075187496841,0.120603039861,
172,-0.0750875025988,0,
173,-0.074987500906,-0.0402010120451,
174,-0.0748874992132,-0.120603039861,
175,-0.0747874975204,-0.2010050565,
176,-0.0746875032783,-0.321608096361,
177,-0.0745875015855,-0.402010113001,
178,-0.0744874998927,-0.482412159443,
179,-0.0743874981999,-0.562814176083,
180,-0.0742874965072,-0.562814176083,
181,-0.074187502265,-0.643216192722,
182,-0.0740875005722,-0.723618209362,
183,-0.0739874988794,-0.804020226002,
184,-0.0738874971867,-0.844221234322,
185,-0.0737875029445,-0.884422242641,
186,-0.0736875012517,-1.0050252676,
187,-0.0735874995589,-1.0050252676,
188,-0.0734874978662,-1.08542728424,
189,-0.073387503624,-1.12562835217,
190,-0.0732875019312,-1.16582930088,
191,-0.0731875002384,-1.2060303688,
192,-0.0730874985456,-1.24623131752,
193,-0.0729874968529,-1.32663345337,
194,-0.0728875026107,-1.36683440208,
195,-0.0727875009179,-1.36683440208,
196,-0.0726874992251,-1.44723641872,
197,-0.0725874975324,-1.44723641872,
198,-0.0724875032902,-1.48743748665,
199,-0.0723875015974,-1.52763843536,
200,-0.0722874999046,-1.52763843536,
201,-0.0721874982119,-1.56783950329,
202,-0.0720874965191,-1.608040452,
203,-0.0719875022769,-1.64824151993,
204,-0.0718875005841,-1.68844246864,
205,-0.0717874988914,-1.68844246864,
206,-0.0716874971986,-1.72864353657,
207,-0.0715875029564,-1.76884448528,
208,-0.0714875012636,-1.80904555321,
209,-0.0713874995708,-1.80904555321,
210,-0.0712874978781,-1.80904555321,
211,-0.0711875036359,-1.84924650192,
212,-0.0710875019431,-1.88944756985,
213,-0.0709875002503,-1.88944756985,
214,-0.0708874985576,-1.88944756985,
215,-0.0707874968648,-1.92964863777,
216,-0.0706875026226,-1.92964863777,
217,-0.0705875009298,-1.96984958649,
218,-0.0704874992371,-2.0100505352,
219,-0.0703874975443,-2.0100505352,
220,-0.0702875033021,-2.05025172234,
221,-0.0701875016093,-2.0100505352,
222,-0.0700874999166,-2.0100505352,
223,-0.0699874982238,-2.09045267105,
224,-0.069887496531,-2.05025172234,
225,-0.0697875022888,-2.05025172234,
226,-0.069687500596,-2.13065361977,
227,-0.0695874989033,-2.09045267105,
228,-0.0694874972105,-2.13065361977,
229,-0.0693875029683,-2.13065361977,
230,-0.0692875012755,-2.17085456848,
231,-0.0691874995828,-2.13065361977,
232,-0.06908749789,-2.17085456848,
233,-0.0689875036478,-2.13065361977,
234,-0.068887501955,-2.17085456848,
235,-0.0687875002623,-2.21105575562,
236,-0.0686874985695,-2.17085456848,
237,-0.0685874968767,-2.21105575562,
238,-0.0684875026345,-2.21105575562,
239,-0.0683875009418,-2.21105575562,
240,-0.068287499249,-2.25125670433,
241,-0.0681874975562,-2.25125670433,
242,-0.068087503314,-2.25125670433,
243,-0.0679875016212,-2.25125670433,
244,-0.0678874999285,-2.29145765305,
245,-0.0677874982357,-2.29145765305,
246,-0.0676874965429,-2.29145765305,
247,-0.0675875023007,-2.29145765305,
248,-0.067487500608,-2.25125670433,
249,-0.0673874989152,-2.29145765305,
250,-0.0672874972224,-2.33165860176,
251,-0.0671875029802,-2.37185978889,
252,-0.0670875012875,-2.29145765305,
253,-0.0669874995947,-2.29145765305,
254,-0.0668874979019,-2.29145765305,
255,-0.0667875036597,-2.29145765305,
256,-0.066687501967,-2.33165860176,
257,-0.0665875002742,-2.37185978889,
258,-0.0664874985814,-2.33165860176,
259,-0.0663874968886,-2.37185978889,
260,-0.0662875026464,-2.33165860176,
